(124, '1484888947339759629', '22238336', '$POKT', datetime.datetime(2022, 1, 22, 14, 1, 27))
(125, '1484887754374848513', '22238336', '$POKT', datetime.datetime(2022, 1, 22, 13, 56, 43))
(126, '1484886473107193858', '22238336', '$POKT', datetime.datetime(2022, 1, 22, 13, 51, 37))
(127, '1484885661643681798', '22238336', '$POKT', datetime.datetime(2022, 1, 22, 13, 48, 24))
(128, '1484883907380228109', '22238336', '$POKT', datetime.datetime(2022, 1, 22, 13, 41, 25))
(129, '1484881104674906112', '22238336', '$POKT', datetime.datetime(2022, 1, 22, 13, 30, 17))
(130, '1484690154933604353', '22238336', '$wPOKT', datetime.datetime(2022, 1, 22, 0, 51, 31))
(651, '1485848071418396674', '972970759416111104', '$ada', datetime.datetime(2022, 1, 25, 5, 32, 40))
(132, '1485145361324945410', '1043168156', '$POKT', datetime.datetime(2022, 1, 23, 7, 0, 21))
(133, '1484862784949084163', '1043168156', '$POKT', datetime.datetime(2022, 1, 22, 12, 17, 30))
(134, '1484588242963996675', '1043168156', '$POKT', datetime.datetime(2022, 1, 21, 18, 6, 34))
(135, '1484683726093225984', '1455929011947855877', '$POKT', datetime.datetime(2022, 1, 22, 0, 25, 59))
(136, '1484618108207869960', '1455929011947855877', '$POKT', datetime.datetime(2022, 1, 21, 20, 5, 14))
(137, '1484595153365045249', '1455929011947855877', '$POKT', datetime.datetime(2022, 1, 21, 18, 34, 1))
(138, '1484316683279818760', '1455929011947855877', '$ONE', datetime.datetime(2022, 1, 21, 0, 7, 29))
(139, '1484187321826263041', '1455929011947855877', '$POKT', datetime.datetime(2022, 1, 20, 15, 33, 27))
(140, '1484005746190733315', '1455929011947855877', '$POKT', datetime.datetime(2022, 1, 20, 3, 31, 56))
(141, '1485839476563664896', '1327376103690756096', '$ALCX', datetime.datetime(2022, 1, 25, 4, 58, 31))
(652, '1485755354596225033', '972970759416111104', '$MLT', datetime.datetime(2022, 1, 24, 23, 24, 15))
(143, '1485711449570054144', '1363528579078893570', '$AURUM', datetime.datetime(2022, 1, 24, 20, 29, 47))
(144, '1485710759359303690', '1363528579078893570', '$GLD', datetime.datetime(2022, 1, 24, 20, 27, 2))
(145, '1485336586590072837', '1471937558477254663', '$RAW', datetime.datetime(2022, 1, 23, 19, 40, 13))
(146, '1484851209357959169', '1471937558477254663', '$UST', datetime.datetime(2022, 1, 22, 11, 31, 30))
(653, '1485733432424550401', '972970759416111104', '$SYS', datetime.datetime(2022, 1, 24, 21, 57, 8))
(148, '1485820753992126465', '1409223567879950338', '$EVMOS', datetime.datetime(2022, 1, 25, 3, 44, 7))
(149, '1485817657052082176', '1409223567879950338', '$HUAHUA', datetime.datetime(2022, 1, 25, 3, 31, 49))
(150, '1485804210277224449', '1409223567879950338', '$JUNO', datetime.datetime(2022, 1, 25, 2, 38, 23))
(151, '1485132604592594945', '1409223567879950338', '$JUNO', datetime.datetime(2022, 1, 23, 6, 9, 40))
(152, '1484577992152170498', '1409223567879950338', '$ATOM', datetime.datetime(2022, 1, 21, 17, 25, 50))
(153, '1484287232295030784', '1409223567879950338', '$juno', datetime.datetime(2022, 1, 20, 22, 10, 27))
(154, '1484259101865656328', '1409223567879950338', '$juno', datetime.datetime(2022, 1, 20, 20, 18, 40))
(155, '1484212944242192386', '1409223567879950338', '$JUNO', datetime.datetime(2022, 1, 20, 17, 15, 15))
(654, '1485656030646345730', '972970759416111104', '$btc', datetime.datetime(2022, 1, 24, 16, 49, 34))
(157, '1484520277916766208', '1370594513857691648', '$REF', datetime.datetime(2022, 1, 21, 13, 36, 29))
(158, '1483409400048070658', '1370594513857691648', '$FLX', datetime.datetime(2022, 1, 18, 12, 2, 16))
(655, '1485629736709771269', '972970759416111104', '$zec', datetime.datetime(2022, 1, 24, 15, 5, 5))
(160, '1485685426660593667', '1396535255037890567', '$SUNNY', datetime.datetime(2022, 1, 24, 18, 46, 23))
(161, '1484975094459822086', '1396535255037890567', '$SBR', datetime.datetime(2022, 1, 22, 19, 43, 46))
(656, '1485547025211043841', '972970759416111104', '$ETH', datetime.datetime(2022, 1, 24, 9, 36, 25))
(163, '1484103016471207939', '1444423907293859840', '$FIDA', datetime.datetime(2022, 1, 20, 9, 58, 27))
(164, '1483841523192336385', '1444423907293859840', '$USDT', datetime.datetime(2022, 1, 19, 16, 39, 22))
(165, '1484561414224236545', '1460667457715253260', '$FIDA', datetime.datetime(2022, 1, 21, 16, 19, 57))
(166, '1483461671700021253', '1460667457715253260', '$CHEST', datetime.datetime(2022, 1, 18, 15, 29, 58))
(167, '1485512693259845632', '1416004060373667845', '$Mona', datetime.datetime(2022, 1, 24, 7, 20))
(3584, '1484300191465451520', '182642157', '$AAPL', datetime.datetime(2022, 1, 20, 23, 1, 57))
(169, '1484737271333068802', '1385673473213624321', '$SHDW', datetime.datetime(2022, 1, 22, 3, 58, 45))
(170, '1484737269210750977', '1385673473213624321', '$SHDW', datetime.datetime(2022, 1, 22, 3, 58, 44))
(171, '1484737266828427267', '1385673473213624321', '$SHDW', datetime.datetime(2022, 1, 22, 3, 58, 44))
(172, '1485767681475321859', '1359201532810571779', '$HOOD', datetime.datetime(2022, 1, 25, 0, 13, 14))
(173, '1485753101717938179', '1359201532810571779', '$DPX', datetime.datetime(2022, 1, 24, 23, 15, 18))
(174, '1485702037744414722', '1359201532810571779', '$ATOM', datetime.datetime(2022, 1, 24, 19, 52, 23))
(658, '1484985446937632768', '1362475747559038978', '$PRISM', datetime.datetime(2022, 1, 22, 20, 24, 54))
(176, '1485831332143980545', '448621436', '$POP', datetime.datetime(2022, 1, 25, 4, 26, 9))
(177, '1485044622476853251', '448621436', '$JUNO', datetime.datetime(2022, 1, 23, 0, 20, 3))
(178, '1484398296957394948', '448621436', '$FAR', datetime.datetime(2022, 1, 21, 5, 31, 47))
(179, '1483824959189311496', '448621436', '$LAKE', datetime.datetime(2022, 1, 19, 15, 33, 33))
(180, '1483897701397901317', '1475272071571644416', '$NEAR', datetime.datetime(2022, 1, 19, 20, 22, 36))
(181, '1485017292165435392', '1341287326467538945', '$SOL', datetime.datetime(2022, 1, 22, 22, 31, 27))
(182, '1484681306336542720', '1341287326467538945', '$OHM', datetime.datetime(2022, 1, 22, 0, 16, 22))
(183, '1484788155412893697', '1219898440718651393', '$DPX', datetime.datetime(2022, 1, 22, 7, 20, 56))
(184, '1484047246660452356', '1219898440718651393', '$rDPX', datetime.datetime(2022, 1, 20, 6, 16, 50))
(185, '1484043444481835010', '1219898440718651393', '$DPX', datetime.datetime(2022, 1, 20, 6, 1, 44))
(186, '1483828942289219584', '182119735', '$ENS', datetime.datetime(2022, 1, 19, 15, 49, 22))
(187, '1485839320187490304', '1396564126734848000', '$AVAX', datetime.datetime(2022, 1, 25, 4, 57, 54))
(659, '1484611786670329859', '1362475747559038978', '$UST', datetime.datetime(2022, 1, 21, 19, 40, 7))
(189, '1485845457070870530', '1346191144934367235', '$ATOM', datetime.datetime(2022, 1, 25, 5, 22, 17))
(1978, '1483877747931893765', '1269095159192485896', '$ftm', datetime.datetime(2022, 1, 19, 19, 3, 18))
(191, '1483666749467729921', '1303125102196711424', '$SHELL`', datetime.datetime(2022, 1, 19, 5, 4, 52))
(192, '1485704039933222915', '1078389030', '$AMZN', datetime.datetime(2022, 1, 24, 20, 0, 20))
(193, '1484924680108593152', '1411139383802040323', '$scrt', datetime.datetime(2022, 1, 22, 16, 23, 26))
(661, '1485671433422393351', '1358927095255232515', '$ATOM', datetime.datetime(2022, 1, 24, 17, 50, 46))
(195, '1485636008368615428', '1444210127784009728', '$SCRT', datetime.datetime(2022, 1, 24, 15, 30))
(196, '1484215282872856579', '1444210127784009728', '$SCRT', datetime.datetime(2022, 1, 20, 17, 24, 33))
(197, '1484215279026679808', '1444210127784009728', '$ATOM', datetime.datetime(2022, 1, 20, 17, 24, 32))
